 AgntStrts: ,25, EstInteractns: ,1041, InteractnsHndld: ,1049, HndlTme: ,9.9, ASR: ,11.83, EstUtil: ,0.87, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,26, EstInteractns: ,1041, InteractnsHndld: ,1050, HndlTme: ,9.9, ASR: ,10.57, EstUtil: ,0.83, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,27, EstInteractns: ,1041, InteractnsHndld: ,1051, HndlTme: ,9.9, ASR: ,10.48, EstUtil: ,0.8, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,28, EstInteractns: ,1041, InteractnsHndld: ,1050, HndlTme: ,9.9, ASR: ,9.97, EstUtil: ,0.77, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,29, EstInteractns: ,1041, InteractnsHndld: ,1050, HndlTme: ,9.9, ASR: ,9.98, EstUtil: ,0.75, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,30, EstInteractns: ,1041, InteractnsHndld: ,1049, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.72, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,20, EstInteractns: ,1049, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,85.26, EstUtil: ,1, Tmestmp: ,9/29/2023 7:31
 AgntStrts: ,21, EstInteractns: ,1049, InteractnsHndld: ,1031, HndlTme: ,9.9, ASR: ,64.8, EstUtil: ,1, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,22, EstInteractns: ,1049, InteractnsHndld: ,1052, HndlTme: ,9.9, ASR: ,36.57, EstUtil: ,1, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,23, EstInteractns: ,1049, InteractnsHndld: ,1054, HndlTme: ,9.9, ASR: ,19.23, EstUtil: ,0.95, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,24, EstInteractns: ,1049, InteractnsHndld: ,1055, HndlTme: ,9.9, ASR: ,18.04, EstUtil: ,0.91, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,25, EstInteractns: ,1049, InteractnsHndld: ,1057, HndlTme: ,9.9, ASR: ,11.86, EstUtil: ,0.87, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,26, EstInteractns: ,1049, InteractnsHndld: ,1057, HndlTme: ,9.9, ASR: ,10.67, EstUtil: ,0.84, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,27, EstInteractns: ,1049, InteractnsHndld: ,1056, HndlTme: ,9.9, ASR: ,10.41, EstUtil: ,0.81, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,28, EstInteractns: ,1049, InteractnsHndld: ,1056, HndlTme: ,9.9, ASR: ,9.98, EstUtil: ,0.78, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,29, EstInteractns: ,1049, InteractnsHndld: ,1054, HndlTme: ,9.9, ASR: ,9.97, EstUtil: ,0.75, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,30, EstInteractns: ,1049, InteractnsHndld: ,1055, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.73, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,20, EstInteractns: ,1056, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,86.53, EstUtil: ,1, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,21, EstInteractns: ,1056, InteractnsHndld: ,1031, HndlTme: ,9.9, ASR: ,65.09, EstUtil: ,1, Tmestmp: ,9/29/2023 7:32
 AgntStrts: ,22, EstInteractns: ,1056, InteractnsHndld: ,1058, HndlTme: ,9.9, ASR: ,37.3, EstUtil: ,1, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,23, EstInteractns: ,1056, InteractnsHndld: ,1055, HndlTme: ,9.9, ASR: ,18.72, EstUtil: ,0.95, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,24, EstInteractns: ,1056, InteractnsHndld: ,1057, HndlTme: ,9.9, ASR: ,17.81, EstUtil: ,0.91, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,25, EstInteractns: ,1056, InteractnsHndld: ,1057, HndlTme: ,9.9, ASR: ,11.87, EstUtil: ,0.87, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,26, EstInteractns: ,1056, InteractnsHndld: ,1057, HndlTme: ,9.9, ASR: ,10.69, EstUtil: ,0.84, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,27, EstInteractns: ,1056, InteractnsHndld: ,1055, HndlTme: ,9.9, ASR: ,10.44, EstUtil: ,0.81, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,28, EstInteractns: ,1056, InteractnsHndld: ,1057, HndlTme: ,9.9, ASR: ,9.96, EstUtil: ,0.78, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,29, EstInteractns: ,1056, InteractnsHndld: ,1059, HndlTme: ,9.9, ASR: ,9.97, EstUtil: ,0.75, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,30, EstInteractns: ,1056, InteractnsHndld: ,1057, HndlTme: ,9.9, ASR: ,9.9, EstUtil: ,0.73, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,20, EstInteractns: ,1064, InteractnsHndld: ,977, HndlTme: ,9.9, ASR: ,91.11, EstUtil: ,1, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,21, EstInteractns: ,1064, InteractnsHndld: ,1031, HndlTme: ,9.9, ASR: ,73.7, EstUtil: ,1, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,22, EstInteractns: ,1064, InteractnsHndld: ,1076, HndlTme: ,9.9, ASR: ,46.38, EstUtil: ,1, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,23, EstInteractns: ,1064, InteractnsHndld: ,1079, HndlTme: ,9.9, ASR: ,23.14, EstUtil: ,1, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,24, EstInteractns: ,1064, InteractnsHndld: ,1072, HndlTme: ,9.9, ASR: ,19.94, EstUtil: ,0.92, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,25, EstInteractns: ,1064, InteractnsHndld: ,1072, HndlTme: ,9.9, ASR: ,12.91, EstUtil: ,0.88, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,26, EstInteractns: ,1064, InteractnsHndld: ,1073, HndlTme: ,9.9, ASR: ,11.22, EstUtil: ,0.85, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,27, EstInteractns: ,1064, InteractnsHndld: ,1076, HndlTme: ,9.9, ASR: ,10.8, EstUtil: ,0.82, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,28, EstInteractns: ,1064, InteractnsHndld: ,1073, HndlTme: ,9.9, ASR: ,10.08, EstUtil: ,0.79, Tmestmp: ,9/29/2023 7:33
 AgntStrts: ,29, EstInteractns: ,1064, InteractnsHndld: ,1074, HndlTme: ,9.9, ASR: ,10.07, EstUtil: ,0.76, Tmestmp: ,9/29/2023 7:34
 AgntStrts: ,30, EstInteractns: ,1064, InteractnsHndld: ,1073, HndlTme: ,9.9, ASR: ,9.92, EstUtil: ,0.74, Tmestmp: ,9/29/2023 7:34
